displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,25.50
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,3338773.00
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,32929270.00
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,17.54
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,12.31
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,7.32
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,17.54
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,12.31
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,3.15
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),3.09
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,30515360.00
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,16.15
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,3602885.00
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,19.24
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,7.37
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,1.12
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,1.12
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),19.24
Return on investment - 5 year average,returnOnInvestment5YearAverage,23.60
