tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003079,Asian Paints,,2025-05-08,,2025-06-26,AGM
S0003079,Asian Paints,,2024-09-18,,2024-10-18,POM
S0003079,Asian Paints,,2024-05-09,,2024-06-25,AGM
S0003079,Asian Paints,,2024-02-27,,2024-03-30,POM
S0003079,Asian Paints,,2023-11-23,,2023-12-27,POM
S0003079,Asian Paints,,2023-08-16,,2023-09-20,POM
S0003079,Asian Paints,,2023-05-11,,2023-06-27,AGM
S0003079,Asian Paints,,2022-05-10,,2022-06-29,AGM
S0003079,Asian Paints,,2022-03-22,,2022-04-22,POM
S0003079,Asian Paints,,2021-05-12,,2021-06-29,AGM
