displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,781.98,,,2025,Annual
Short Term Investments ,ShortTermInvestments,4403.07,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,5185.05,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,4313.65,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,4313.65,,,2025,Annual
Total Inventory ,TotalInventory,6719.27,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,773.71,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,16991.68,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,9885.83,,,2025,Annual
Goodwill Net ,GoodwillNet,219.58,,,2025,Annual
Intangibles Net ,IntangiblesNet,369.18,,,2025,Annual
Long Term Investments ,LongTermInvestments,2357.63,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,230.33,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,317.14,,,2025,Annual
Total Assets ,TotalAssets,30371.37,,,2025,Annual
Accounts Payable ,AccountsPayable,3848.00,,,2025,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,588.23,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,319.14,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,3385.86,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,8141.23,,,2025,Annual
Long Term Debt ,LongTermDebt,259.62,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,1123.30,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,1382.92,,,2025,Annual
Total Debt ,TotalDebt,2290.29,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,404.91,,,2025,Annual
Minority Interest ,MinorityInterest,659.24,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,383.26,,,2025,Annual
Total Liabilities ,TotalLiabilities,10971.56,,,2025,Annual
Common Stock Total ,CommonStockTotal,95.92,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),19303.89,,,2025,Annual
Total Equity ,TotalEquity,19399.81,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,30371.37,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,95.87,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,196.21,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
