Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,45,50,42,45,1,45,33
ThirtyDaysAgo,INR,48,61,42,47,3,46,33
SixtyDaysAgo,INR,48,61,43,47,3,47,33
NinetyDaysAgo,INR,48,61,43,47,3,47,33
OneWeekAgo,INR,51,59,45,51,3,50,33
ThirtyDaysAgo,INR,53,70,46,52,4,52,32
SixtyDaysAgo,INR,54,70,46,52,5,52,32
NinetyDaysAgo,INR,54,70,46,52,5,53,32
OneWeekAgo,INR,55,64,49,56,4,55,13
ThirtyDaysAgo,INR,60,60,60,60,0,60,1
SixtyDaysAgo,INR,60,60,60,60,0,60,1
NinetyDaysAgo,INR,60,60,60,60,0,60,1
