Date,Volume,Delivery (%)
2025-05-06,1266284,22.0
2025-05-07,456295,48.0
2025-05-08,746309,61.0
2025-05-09,883688,50.0
2025-05-12,593937,56.0
2025-05-13,1256168,28.0
2025-05-14,1233148,28.0
2025-05-15,2702734,34.0
2025-05-16,794892,
2025-05-19,774938,38.0
2025-05-20,872497,52.0
2025-05-21,434869,42.0
2025-05-22,410181,41.0
2025-05-23,478282,57.0
2025-05-26,786303,49.0
2025-05-27,417537,50.0
2025-05-28,439941,51.0
2025-05-29,382255,55.0
2025-05-30,922245,67.0
2025-06-02,789936,52.0
2025-06-03,424367,53.0
2025-06-04,359060,54.0
2025-06-05,406036,52.0
2025-06-06,567017,
