Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,7497.0,6661.0,836.0,11.0,131.0,13.0,168.0,786.0,21.0,621.0,30.6
2022-06-01,8448.0,7527.0,920.0,11.0,56.0,14.0,173.0,789.0,26.0,586.0,29.55
2022-09-01,9158.0,8096.0,1062.0,12.0,94.0,48.0,173.0,936.0,27.0,682.0,34.45
2022-12-01,8118.0,7177.0,942.0,12.0,265.0,24.0,172.0,1011.0,29.0,721.0,36.33
2023-03-01,8434.0,7345.0,1089.0,13.0,238.0,19.0,180.0,1128.0,28.0,811.0,40.29
2023-06-01,8851.0,7734.0,1117.0,13.0,66.0,21.0,180.0,982.0,29.0,701.0,35.53
2023-09-01,9533.0,8174.0,1360.0,14.0,213.0,25.0,187.0,1360.0,26.0,1007.0,50.35
2023-12-01,9788.0,8403.0,1385.0,14.0,288.0,23.0,194.0,1456.0,25.0,1091.0,54.7
2024-03-01,9617.0,8298.0,1319.0,14.0,177.0,8.0,197.0,1292.0,27.0,943.0,46.77
2024-06-01,10211.0,8804.0,1407.0,14.0,225.0,19.0,205.0,1408.0,27.0,1032.0,52.31
2024-09-01,10483.0,9033.0,1450.0,14.0,239.0,18.0,206.0,1464.0,27.0,1066.0,53.19
2024-12-01,10260.0,8844.0,1416.0,14.0,306.0,17.0,209.0,1497.0,26.0,1108.0,55.38
2025-03-01,9970.0,8529.0,1441.0,14.0,345.0,17.0,204.0,1565.0,25.0,1169.0,58.06
