Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,143,152,134,143,3,141,43
ThirtyDaysAgo,INR,143,152,134,143,4,141,43
SixtyDaysAgo,INR,149,161,140,149,4,148,40
NinetyDaysAgo,INR,150,161,139,151,4,150,41
OneWeekAgo,INR,156,169,145,156,5,154,43
ThirtyDaysAgo,INR,156,169,145,156,5,155,43
SixtyDaysAgo,INR,165,185,149,163,7,161,38
NinetyDaysAgo,INR,166,185,148,166,7,165,38
OneWeekAgo,INR,168,177,156,169,6,168,19
ThirtyDaysAgo,INR,168,177,156,169,6,168,19
SixtyDaysAgo,INR,194,210,177,197,13,192,3
NinetyDaysAgo,INR,194,210,177,197,13,193,3
