displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,2124.00,,,2023,Annual
Cash Equivalents ,CashEquivalents,4999.00,,,2023,Annual
Short Term Investments ,ShortTermInvestments,40121.00,,,2023,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,47244.00,,,2023,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,56290.00,,,2023,Annual
Total Receivables Net ,TotalReceivablesNet,58679.00,,,2023,Annual
Total Inventory ,TotalInventory,121.00,,,2023,Annual
Prepaid Expenses ,PrepaidExpenses,1514.00,,,2023,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,2712.00,,,2023,Annual
Total Current Assets ,TotalCurrentAssets,110270.00,,,2023,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,41138.00,,,2023,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-22114,,,2023,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,19024.00,,,2023,Annual
Goodwill Net ,GoodwillNet,1858.00,,,2023,Annual
Intangibles Net ,IntangiblesNet,867.00,,,2023,Annual
Long Term Investments ,LongTermInvestments,1600.00,,,2023,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,3452.00,,,2023,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,6580.00,,,2023,Annual
Total Assets ,TotalAssets,143651.00,,,2023,Annual
Accounts Payable ,AccountsPayable,10515.00,,,2023,Annual
Accrued Expenses ,AccruedExpenses,15031.00,,,2023,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2023,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,1485.00,,,2023,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,16527.00,,,2023,Annual
Total Current Liabilities ,TotalCurrentLiabilities,43558.00,,,2023,Annual
Capital Lease Obligations ,CapitalLeaseObligations,6203.00,,,2023,Annual
Total Long Term Debt ,TotalLongTermDebt,6203.00,,,2023,Annual
Total Debt ,TotalDebt,7688.00,,,2023,Annual
Deferred Income Tax ,DeferredIncomeTax,792.00,,,2023,Annual
Minority Interest ,MinorityInterest,782.00,,,2023,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,1892.00,,,2023,Annual
Total Liabilities ,TotalLiabilities,53227.00,,,2023,Annual
Common Stock Total ,CommonStockTotal,366.00,,,2023,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),87189.00,,,2023,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),41.00,,,2023,Annual
Other Equity Total ,OtherEquityTotal,2828.00,,,2023,Annual
Total Equity ,TotalEquity,90424.00,,,2023,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,143651.00,,,2023,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,365.91,,,2023,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,239.68,,,2023,Annual
period Length ,periodLength,0.00,,,2023,Annual
