tickerId,companyName,remarks,recordDate,xdDate,interimOrFinal,instrumentType,value,percentage,dateOfAnnouncement,bookClosureStartDate,bookClosureEndDate,sortDate
S0003068,Power Grid Corporation Of India,Rs.1.2500 per share(12.5%)Final Dividend,,,Final,5,1.25,12.5,2025-05-19,,,2025-05-19
S0003068,Power Grid Corporation Of India,Rs.3.2500 per share(32.5%)Second Interim Dividend,2025-02-07,2025-02-07,Interim,5,3.25,32.5,2025-01-28,,,2025-02-07
S0003068,Power Grid Corporation Of India,Rs.4.5000 per share(45%)Interim Dividend,2024-11-14,2024-11-14,Interim,5,4.5,45.0,2024-10-29,,,2024-11-14
S0003068,Power Grid Corporation Of India,Rs.2.7500 per share(27.5%)Final Dividend,2024-08-16,2024-08-16,Final,5,2.75,27.5,2024-05-22,,,2024-08-16
S0003068,Power Grid Corporation Of India,Rs.4.5000 per share(45%)Second Interim Dividend,2024-02-15,2024-02-15,Interim,5,4.5,45.0,2024-01-29,,,2024-02-15
S0003068,Power Grid Corporation Of India,Rs.4.0000 per share(40%)Interim Dividend,2023-11-16,2023-11-16,Interim,5,4.0,40.0,2023-10-25,,,2023-11-16
S0003068,Power Grid Corporation Of India,Rs.4.7500 per share(47.5%)Final Dividend,2023-08-08,2023-08-08,Final,5,4.75,47.5,2023-05-19,,,2023-08-08
S0003068,Power Grid Corporation Of India,Rs.5.0000 per share (50%) Second Interim Dividend,2023-02-08,2023-02-08,Interim,5,5.0,50.0,2023-01-23,,,2023-02-08
S0003068,Power Grid Corporation Of India,Rs.5.0000 per share(50%)Interim Dividend,2022-11-15,2022-11-14,Interim,5,5.0,50.0,2022-10-27,,,2022-11-14
S0003068,Power Grid Corporation Of India,Rs.5.5000 per share (55%) Second Interim Dividend,2022-02-17,2022-02-16,Interim,5,5.5,55.0,2022-02-01,,,2022-02-16
S0003068,Power Grid Corporation Of India,Rs.4.0000 per share(40%)Interim Dividend,2021-12-23,2021-12-22,Interim,5,4.0,40.0,2021-12-10,,,2021-12-22
S0003068,Power Grid Corporation Of India,Rs.3.0000 per share(30%)Special Dividend,2021-12-23,2021-12-22,Special,5,3.0,30.0,2021-12-11,,,2021-12-22
S0003068,Power Grid Corporation Of India,Rs.3.0000 per share(30%)Final Dividend,,2021-09-08,Final,5,3.0,30.0,2021-06-17,2021-09-10,2021-09-24,2021-09-08
S0003068,Power Grid Corporation Of India,Rs.4.0000 per share (40%) Second Interim Dividend,2021-03-09,2021-03-08,Interim,5,4.0,40.0,2021-02-23,,,2021-03-08
