Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,10687.0,1983.0,8704.0,81.0,737.0,2091.0,3279.0,4071.0,-2.0,4156.0,4.47
2022-06-01,10905.0,1661.0,9245.0,85.0,342.0,1960.0,3295.0,4331.0,12.0,3801.0,4.09
2022-09-01,11151.0,1785.0,9366.0,84.0,199.0,2187.0,3317.0,4060.0,10.0,3650.0,3.92
2022-12-01,11262.0,1368.0,9893.0,88.0,500.0,3012.0,3407.0,3975.0,8.0,3645.0,3.92
2023-03-01,12264.0,1433.0,10831.0,88.0,294.0,2475.0,3314.0,5335.0,19.0,4323.0,4.65
2023-06-01,11048.0,1716.0,9332.0,84.0,209.0,2057.0,3266.0,4218.0,15.0,3597.0,3.87
2023-09-01,11267.0,1557.0,9710.0,86.0,263.0,2341.0,3277.0,4355.0,13.0,3781.0,4.07
2023-12-01,11550.0,1375.0,10175.0,88.0,380.0,2446.0,3293.0,4816.0,16.0,4028.0,4.33
2024-03-01,11978.0,2055.0,9923.0,83.0,389.0,1928.0,3259.0,5125.0,19.0,4166.0,4.48
2024-06-01,11006.0,1466.0,9540.0,87.0,302.0,2039.0,3200.0,4603.0,19.0,3724.0,4.0
2024-09-01,11278.0,1681.0,9597.0,85.0,814.0,2441.0,3292.0,4678.0,19.0,3793.0,4.08
2024-12-01,11233.0,1700.0,9533.0,85.0,552.0,1917.0,3216.0,4952.0,22.0,3862.0,4.15
2025-03-01,12275.0,2081.0,10194.0,83.0,366.0,2303.0,3196.0,5062.0,18.0,4143.0,4.45
