CalendarMonth,CalendarYear,FiscalYear,ActualReportDate,Type,CurrencyCode,Reported,ReportedDate,SurprisePercent,SurpriseMean,SUE,NumEstimates,Mean,High,Low,Median,StandardDeviation,SmartEstimate
3,2024,2024,2024-05-22T10:17:00,Actual,INR,16.74,2024-05-22T10:17:00,-0.54,16.83,-0.13,10,,,,,,
3,2025,2025,2025-05-19T10:13:00,Actual,INR,16.39,2025-05-19T10:13:00,-2.73,16.85,-0.91,17,,,,,,
3,2026,2026,,Estimate,INR,,,,,,17,17.0,20.0,16.0,17.0,0.0,17.0
3,2027,2027,,Estimate,INR,,,,,,15,19.0,22.0,17.0,19.0,1.0,18.0
3,2028,2028,,Estimate,INR,,,,,,8,20.0,23.0,17.0,21.0,1.0,20.0
