displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,5192.17,,,2023,Annual
Short Term Investments ,ShortTermInvestments,2162.50,,,2023,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,7354.67,,,2023,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,15712.44,,,2023,Annual
Total Receivables Net ,TotalReceivablesNet,16135.90,,,2023,Annual
Total Inventory ,TotalInventory,1355.41,,,2023,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,1076.77,,,2023,Annual
Total Current Assets ,TotalCurrentAssets,25922.75,,,2023,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,267573.22,,,2023,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-83795.81,,,2023,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,197518.63,,,2023,Annual
Intangibles Net ,IntangiblesNet,1690.68,,,2023,Annual
Long Term Investments ,LongTermInvestments,3529.01,,,2023,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,8127.98,,,2023,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,15484.01,,,2023,Annual
Total Assets ,TotalAssets,252273.06,,,2023,Annual
Accounts Payable ,AccountsPayable,327.79,,,2023,Annual
Accrued Expenses ,AccruedExpenses,3667.30,,,2023,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,700.00,,,2023,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,13930.35,,,2023,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,11439.46,,,2023,Annual
Total Current Liabilities ,TotalCurrentLiabilities,30064.90,,,2023,Annual
Long Term Debt ,LongTermDebt,113891.29,,,2023,Annual
Capital Lease Obligations ,CapitalLeaseObligations,62.17,,,2023,Annual
Total Long Term Debt ,TotalLongTermDebt,113953.46,,,2023,Annual
Total Debt ,TotalDebt,128583.81,,,2023,Annual
Deferred Income Tax ,DeferredIncomeTax,10667.09,,,2023,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,14561.32,,,2023,Annual
Total Liabilities ,TotalLiabilities,169246.77,,,2023,Annual
Common Stock Total ,CommonStockTotal,6975.45,,,2023,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,7834.43,,,2023,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),67844.80,,,2023,Annual
Other Equity Total ,OtherEquityTotal,371.61,,,2023,Annual
Total Equity ,TotalEquity,83026.29,,,2023,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,252273.06,,,2023,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,930.06,,,2023,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,87.45,,,2023,Annual
period Length ,periodLength,0.00,,,2023,Annual
