tickerId,companyName,remarks,recordDate,xbDate,sortDate,dateOfAnnouncement
S0003068,Power Grid Corporation Of India,Bonus issue in the ratio of 1:3 of Rs. 10/-.,2023-09-12,2023-09-12,2023-09-12,2023-07-31
S0003068,Power Grid Corporation Of India,Bonus issue in the ratio of 1:3 of Rs. 10/-.,2021-07-30,2021-07-29,2021-07-29,2021-06-17
