displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,33666.32,,,2019,Annual
Other Revenue Total ,OtherRevenueTotal,1392.80,,,2019,Annual
Total Revenue ,TotalRevenue,35059.12,,,2019,Annual
Costof Revenue Total ,CostofRevenueTotal,323.20,,,2019,Annual
Operations Maintenance ,OperationsMaintenance,832.39,,,2019,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,3212.75,,,2019,Annual
Research Development ,ResearchDevelopment,12.67,,,2019,Annual
Depreciation/ Amortization ,Depreciation/Amortization,10540.95,,,2019,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,135.05,,,2019,Annual
Total Operating Expense ,TotalOperatingExpense,15057.01,,,2019,Annual
Operating Income ,OperatingIncome,20002.11,,,2019,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-9528.55,,,2019,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-25.58,,,2019,Annual
Other Net ,OtherNet,1226.06,,,2019,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,11674.04,,,2019,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,-886.35,,,2019,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,12560.39,,,2019,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,12560.39,,,2019,Annual
Net Income ,NetIncome,12560.39,,,2019,Annual
Total Adjustmentsto Net Income ,TotalAdjustmentstoNetIncome,-25268.70,,,2019,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,10033.52,,,2019,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,10033.52,,,2019,Annual
Diluted Net Income ,DilutedNetIncome,10033.52,,,2019,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,930.06,,,2019,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,10.79,,,2019,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,4.69,,,2019,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,10.81,,,2019,Annual
period Length ,periodLength,12,,,2019,Annual
period Type ,periodType,Months,,,2019,Annual
