Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,17,20,16,17,0,17,17
ThirtyDaysAgo,INR,18,19,16,18,0,18,18
SixtyDaysAgo,INR,18,19,16,18,0,17,18
NinetyDaysAgo,INR,18,19,16,18,0,17,17
OneWeekAgo,INR,19,22,17,19,1,18,15
ThirtyDaysAgo,INR,19,21,17,19,0,19,16
SixtyDaysAgo,INR,19,21,17,19,0,19,16
NinetyDaysAgo,INR,19,21,17,19,0,19,15
OneWeekAgo,INR,20,23,17,21,1,20,8
ThirtyDaysAgo,INR,21,21,21,21,0,21,1
