displayName,key,value
"P/E excluding extraordinary items, most recent fiscal year",pPerEExcludingExtraordinaryItemsMostRecentFiscalYear,26.60
"Current Dividend Yield - Common Stock Primary Issue, LTM",currentDividendYieldCommonStockPrimaryIssueLTM,3.42
Price to Book - most recent fiscal year,priceToBookMostRecentFiscalYear,7.49
Price to Free Cash Flow per Share - trailing 12 months,priceToFreeCashFlowPerShareTrailing12Months,
P/E Basic excluding extraordinary items - TTM,pPerEBasicExcludingExtraordinaryItemsTTM,25.75
P/E including extraordinary items - TTM,pPerEIncludingExtraordinaryItemsTTM,15.10
"P/E excluding extraordinary items low, trailing 12 months",pPerEExcludingExtraordinaryItemsLowTrailing12Months,15.23
Price to Tangible Book - most fiscal year,priceToTangibleBookMostFiscalYear,7.90
Dividend Yield - 5 Year Average,dividendYield5YearAverage,3.90
Price to sales - most recent fiscal year,priceToSalesMostRecentFiscalYear,6.43
"Net Debt, LFI",netDebtLFI,-216715.70
Price to Tangible Book - most recent quarter,priceToTangibleBookMostRecentQuarter,7.90
Price to Book - most recent quarter,priceToBookMostRecentQuarter,7.49
Dividend Yield - indicated annual dividend divided by closing price,dividendYieldIndicatedAnnualDividendDividedByClosingprice,3.42
Price to Cash Flow per share - trailing 12 month,priceToCashFlowPerShareTrailing12Month,23.79
Peg Ratio,pegRatio,1.80
is ForCasted,isForCasted,true
Price to Free Cash Flow per Share - most recent fiscal year,priceToFreeCashFlowPerShareMostRecentFiscalYear,
"P/E Normalized, most recent fiscal year",pPerENormalizedMostRecentFiscalYear,26.60
"P/E excluding extraordinary items high, trailing 12 months",pPerExcludingExtraordinaryItemsHighTrailing12Months,30.10
"P/E excluding extraordinary items, most recent fiscal year quarter",pPerEExcludingExtraordinaryItemsMostRecentFiscalYearQuarter,26.38
Price to sales - trailing 12 month,priceToSalesTrailing12Month,6.32
"Net Debt, LFY",netDebtLFY,-216715.70
