displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,76397.81,,,2021,Annual
Total Revenue ,TotalRevenue,76397.81,,,2021,Annual
Costof Revenue Total ,CostofRevenueTotal,25712.88,,,2021,Annual
Gross Profit ,GrossProfit,50684.93,,,2021,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,25447.29,,,2021,Annual
Depreciation/ Amortization ,Depreciation/Amortization,3979.18,,,2021,Annual
Interest Exp( Inc) Net- Operating Total ,InterestExp(Inc)Net-OperatingTotal,0.43,,,2021,Annual
Unusual Expense( Income) ,UnusualExpense(Income),341.73,,,2021,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,6642.86,,,2021,Annual
Total Operating Expense ,TotalOperatingExpense,62124.37,,,2021,Annual
Operating Income ,OperatingIncome,14273.44,,,2021,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-684.37,,,2021,Annual
Other Net ,OtherNet,-3817.64,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,9771.43,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,3022.19,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,6749.24,,,2021,Annual
Minority Interest ,MinorityInterest,-2681.88,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,4067.36,,,2021,Annual
Total Extraordinary Items ,TotalExtraordinaryItems,237.46,,,2021,Annual
Net Income ,NetIncome,4304.82,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,4067.36,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,4304.82,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,4304.82,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,65.98,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,61.64,,,2021,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,4.98,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,65.22,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
