displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,1671.34,,,2023,Annual
Cash Equivalents ,CashEquivalents,641.22,,,2023,Annual
Short Term Investments ,ShortTermInvestments,14806.33,,,2023,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,17118.89,,,2023,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,5912.21,,,2023,Annual
Total Receivables Net ,TotalReceivablesNet,31805.42,,,2023,Annual
Total Inventory ,TotalInventory,12682.19,,,2023,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,5897.84,,,2023,Annual
Total Current Assets ,TotalCurrentAssets,67504.34,,,2023,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,96135.47,,,2023,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-22252.73,,,2023,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,73882.74,,,2023,Annual
Goodwill Net ,GoodwillNet,20137.55,,,2023,Annual
Intangibles Net ,IntangiblesNet,8639.39,,,2023,Annual
Long Term Investments ,LongTermInvestments,60538.93,,,2023,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,77139.11,,,2023,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,29362.97,,,2023,Annual
Total Assets ,TotalAssets,337205.03,,,2023,Annual
Accounts Payable ,AccountsPayable,15421.97,,,2023,Annual
Accrued Expenses ,AccruedExpenses,2350.11,,,2023,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,17684.51,,,2023,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,17230.86,,,2023,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,16845.54,,,2023,Annual
Total Current Liabilities ,TotalCurrentLiabilities,69532.99,,,2023,Annual
Long Term Debt ,LongTermDebt,66712.46,,,2023,Annual
Capital Lease Obligations ,CapitalLeaseObligations,1410.73,,,2023,Annual
Total Long Term Debt ,TotalLongTermDebt,68123.19,,,2023,Annual
Total Debt ,TotalDebt,103038.56,,,2023,Annual
Deferred Income Tax ,DeferredIncomeTax,8443.38,,,2023,Annual
Minority Interest ,MinorityInterest,44170.83,,,2023,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,68192.65,,,2023,Annual
Total Liabilities ,TotalLiabilities,258463.04,,,2023,Annual
Common Stock Total ,CommonStockTotal,131.69,,,2023,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,27256.09,,,2023,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),52554.81,,,2023,Annual
Treasury Stock- Common ,TreasuryStock-Common,-387.32,,,2023,Annual
ESOP Debt Guarantee ,ESOPDebtGuarantee,410.57,,,2023,Annual
Other Equity Total ,OtherEquityTotal,-1223.85,,,2023,Annual
Total Equity ,TotalEquity,78741.99,,,2023,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,337205.03,,,2023,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,66.11,,,2023,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,755.81,,,2023,Annual
period Length ,periodLength,0.00,,,2023,Annual
