rank,since,firstName,mI,lastName,age,title
1,NA,Pavan,Kumar,Jain,,"{'startYear': '2022', 'startMonth': '8', 'startDay': '15', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Financial Officer'}"
2,2023,Rajesh,,Balakrishnan,,"{'startYear': '2023', 'startMonth': '', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Chief Executive Officer - Speciality Chemicals Business'}"
3,2023,Rahul,,Desai,,"{'startYear': '2023', 'startMonth': '', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Joint President - Corporate Finance Division'}"
4,2019,Satyaki,,Ghosh,,"{'startYear': '2025', 'startMonth': '1', 'startDay': '28', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Chief Executive Officer - Cellulosic Fashion Yarn Business'}"
5,2021,Rakshit,,Hargave,,"{'startYear': '2021', 'startMonth': '', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Chief Executive Officer - Paints Business'}"
6,2013,Hemant,Kumar,Kadel,56,"{'startYear': '2018', 'startMonth': '', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Senior President - Corporate Finance Division'}"
7,2023,Sandeep,,Komaravelly,,"{'startYear': '2024', 'startMonth': '', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Chief Executive Officer - Birla Pivot (B2B E-Commerce)'}"
8,2021,Vishakha,,Mulye,,"{'startYear': '2021', 'startMonth': '', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Chief Executive Officer - Aditya Birla Capital Limited'}"
9,04/01/2021,Ajit,,Rajagopalan,,"{'startYear': '2021', 'startMonth': '4', 'startDay': '1', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Chief Executive Officer- Insulators Business'}"
10,04/01/2021,Sailesh,Kumar,Daga,,"{'startYear': '2021', 'startMonth': '4', 'startDay': '1', 'iD1': 'CCO', 'abbr1': 'Chief Comp.', 'iD2': 'SEC', 'abbr2': 'Secy.', 'Value': 'Compliance Officer, Company Secretary'}"
