Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,52,57,49,52,2,51,24
ThirtyDaysAgo,INR,53,59,49,53,2,52,23
SixtyDaysAgo,INR,54,70,49,53,4,52,23
NinetyDaysAgo,INR,53,59,49,53,2,52,22
OneWeekAgo,INR,64,69,59,64,3,63,24
ThirtyDaysAgo,INR,65,73,58,65,3,63,22
SixtyDaysAgo,INR,65,73,58,65,3,64,21
NinetyDaysAgo,INR,65,73,58,65,3,64,21
OneWeekAgo,INR,74,79,67,75,3,73,9
ThirtyDaysAgo,INR,78,78,78,78,0,78,1
SixtyDaysAgo,INR,78,78,78,78,0,78,1
NinetyDaysAgo,INR,78,78,78,78,0,78,1
