rank,since,firstName,mI,lastName,age,title
1,07/01/2021,Ashok,Kumar,Sonthalia,,"{'startYear': '2021', 'startMonth': '7', 'startDay': '1', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Financial Officer'}"
2,08/03/2018,Dinesh,,Shetty,,"{'startYear': '2023', 'startMonth': '', 'startDay': '', 'iD1': 'CCO', 'abbr1': 'Chief Comp.', 'iD2': 'GCN', 'abbr2': 'Counsel', 'Value': 'Chief Compliance Officer, General Counsel, Company Secretary'}"
3,10/01/2019,Coimbatore,Krishnamur,Venkataraman,63,"{'startYear': '2023', 'startMonth': '', 'startDay': '', 'iD1': 'MDR', 'abbr1': 'Mgng.Dir.', 'iD2': 'EDR', 'abbr2': 'Exec. Dir.', 'Value': 'Managing Director, Executive Director - Nominee of Tata Group'}"
