displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,2827.40,,,2024,Interim
Short Term Investments ,ShortTermInvestments,7330.80,,,2024,Interim
Cashand Short Term Investments ,CashandShortTermInvestments,10158.20,,,2024,Interim
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,4596.80,,,2024,Interim
Total Receivables Net ,TotalReceivablesNet,4629.50,,,2024,Interim
Total Inventory ,TotalInventory,5318.10,,,2024,Interim
Other Current Assets Total ,OtherCurrentAssetsTotal,2528.00,,,2024,Interim
Total Current Assets ,TotalCurrentAssets,22633.80,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,34915.40,,,2024,Interim
Intangibles Net ,IntangiblesNet,684.20,,,2024,Interim
Long Term Investments ,LongTermInvestments,53681.90,,,2024,Interim
Note Receivable- Long Term ,NoteReceivable-LongTerm,583.90,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,2851.60,,,2024,Interim
Total Assets ,TotalAssets,115350.80,,,2024,Interim
Accounts Payable ,AccountsPayable,16988.40,,,2024,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,33.10,,,2024,Interim
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,17.80,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,8912.50,,,2024,Interim
Total Current Liabilities ,TotalCurrentLiabilities,25951.80,,,2024,Interim
Capital Lease Obligations ,CapitalLeaseObligations,67.70,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,67.70,,,2024,Interim
Total Debt ,TotalDebt,118.60,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,388.80,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,3306.50,,,2024,Interim
Total Liabilities ,TotalLiabilities,29714.80,,,2024,Interim
Common Stock Total ,CommonStockTotal,157.20,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),85478.80,,,2024,Interim
Total Equity ,TotalEquity,85636.00,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,115350.80,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,31.44,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,2702.01,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
