tickerId,companyName,remarks,recordDate,xdDate,interimOrFinal,instrumentType,value,percentage,dateOfAnnouncement,bookClosureStartDate,bookClosureEndDate,sortDate
S0003046,Maruti Suzuki India,Rs.135.0000 per share(2700%)Final Dividend,2025-08-01,,Final,5,135,2700,2025-04-25,,,2025-08-01
S0003046,Maruti Suzuki India,Rs.125.0000 per share(2500%)Final Dividend,,2024-08-02,Final,5,125,2500,2024-04-26,2024-08-03,2024-08-27,2024-08-02
S0003046,Maruti Suzuki India,Rs.90.0000 per share(1800%)Final Dividend,,2023-08-03,Final,5,90,1800,2023-04-26,2023-08-04,2023-08-29,2023-08-03
S0003046,Maruti Suzuki India,Rs.60.0000 per share(1200%)Final Dividend,,2022-08-03,Final,5,60,1200,2022-04-29,2022-08-05,2022-08-31,2022-08-03
S0003046,Maruti Suzuki India,Rs.45.0000 per share(900%)Final Dividend,,2021-08-05,Final,5,45,900,2021-06-28,2021-08-07,2021-08-24,2021-08-05
