Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,26749.0,24320.0,2429.0,9.0,514.0,56.0,648.0,2239.0,16.0,1876.0,62.1
2022-06-01,26512.0,24597.0,1915.0,7.0,112.0,28.0,652.0,1347.0,23.0,1036.0,34.3
2022-09-01,29942.0,27172.0,2771.0,9.0,662.0,31.0,723.0,2679.0,21.0,2112.0,69.93
2022-12-01,29251.0,25878.0,3373.0,12.0,893.0,30.0,1209.0,3027.0,21.0,2406.0,79.65
2023-03-01,32214.0,28320.0,3894.0,12.0,850.0,164.0,1240.0,3341.0,20.0,2688.0,88.97
2023-06-01,32535.0,29015.0,3520.0,11.0,1110.0,46.0,1314.0,3269.0,22.0,2543.0,84.18
2023-09-01,37339.0,32028.0,5312.0,14.0,958.0,35.0,1342.0,4892.0,23.0,3786.0,125.34
2023-12-01,33513.0,29073.0,4440.0,13.0,1053.0,36.0,1302.0,4156.0,23.0,3207.0,102.0
2024-03-01,38471.0,33250.0,5221.0,14.0,1261.0,76.0,1298.0,5108.0,23.0,3952.0,125.71
2024-06-01,35779.0,30673.0,5107.0,14.0,1118.0,57.0,1332.0,4836.0,22.0,3760.0,119.58
2024-09-01,37449.0,32450.0,4999.0,13.0,1570.0,43.0,1386.0,5141.0,40.0,3102.0,98.68
2024-12-01,38764.0,33688.0,5076.0,13.0,1125.0,46.0,1429.0,4726.0,21.0,3727.0,118.54
2025-03-01,40920.0,36076.0,4844.0,12.0,1583.0,48.0,1462.0,4918.0,20.0,3911.0,124.4
