Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,512,540,482,511,19,509,11
ThirtyDaysAgo,INR,512,540,482,511,19,509,11
SixtyDaysAgo,INR,529,566,496,524,18,532,9
NinetyDaysAgo,INR,529,566,496,524,18,532,9
OneWeekAgo,INR,578,618,546,571,21,575,9
ThirtyDaysAgo,INR,578,618,546,571,21,575,9
SixtyDaysAgo,INR,593,634,559,593,21,594,7
NinetyDaysAgo,INR,593,634,559,593,21,594,7
OneWeekAgo,INR,630,663,602,625,24,630,3
ThirtyDaysAgo,INR,630,663,602,625,24,630,3
