displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,1.33
"Revenue growth rate, 5 year",revenueGrowthRate5Year,13.26
"EPS growth rate, 5 year",ePSGrowthRate5Year,22.73
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,19.89
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,10.06
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,37.30
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),12.88
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,-22.98
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,12.66
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,15.83
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,41.26
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,16.54
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,14.86
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,16.46
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),21.63
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,8.73
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,15.98
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,16.17
