displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,17.62
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,17.54
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,12.97
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,3.82
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,17.54
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,12.97
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,1.48
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),1.48
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,12.15
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,18.28
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,3.82
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,0.74
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,0.74
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),18.53
Return on investment - 5 year average,returnOnInvestment5YearAverage,16.94
