rank,since,firstName,mI,lastName,age,title
1,NA,Kallam,Satish,Reddy,56,"{'startYear': '2022', 'startMonth': '', 'startDay': '', 'iD1': 'CHM', 'abbr1': 'Chmn.', 'iD2': 'EDR', 'abbr2': 'Exec. Dir.', 'Value': 'Chairman of the Board'}"
2,06/30/1990,Gunupati,Venkateswa,Prasad,63,"{'startYear': '2019', 'startMonth': '8', 'startDay': '1', 'iD1': 'CCH', 'abbr1': 'Co-Chmn.', 'iD2': 'MDR', 'abbr2': 'Mgng.Dir.', 'Value': 'Co-Chairman of the Board, Managing Director'}"
3,04/02/2018,Erez,,Israeli,57,"{'startYear': '2019', 'startMonth': '8', 'startDay': '1', 'iD1': 'CEO', 'abbr1': 'CEO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Executive Officer'}"
4,NA,M. V.,,Narasimham,55,"{'startYear': '2024', 'startMonth': '8', 'startDay': '1', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Financial Officer'}"
5,10/07/2019,Patrick,,Aghanian,59,"{'startYear': '2019', 'startMonth': '10', 'startDay': '7', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Chief Executive Officer, European Generics'}"
6,05/25/2024,Milan,,Kalawadia,,"{'startYear': '2024', 'startMonth': '5', 'startDay': '25', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Chief Executive Officer, North America'}"
7,2012,M.,V.,Ramana,56,"{'startYear': '2018', 'startMonth': '', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Chief Executive Officer, Branded Markets (India and Emerging Countries)'}"
8,06/15/2017,Archana,,Bhaskar,57,"{'startYear': '2017', 'startMonth': '6', 'startDay': '15', 'iD1': 'CHO', 'abbr1': 'Chief HR', 'iD2': '', 'abbr2': '', 'Value': 'Chief Human Resources Officer'}"
9,08/01/2023,Phani,,Mitra B.,45,"{'startYear': '2023', 'startMonth': '8', 'startDay': '1', 'iD1': 'CIO', 'abbr1': 'CIO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Information Officer'}"
10,05/04/2022,Sushrut,,Kulkarni,54,"{'startYear': '2022', 'startMonth': '5', 'startDay': '4', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Global Head of Integrated Product Development Organisation'}"
