displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,710.70,,,2024,Interim
Short Term Investments ,ShortTermInvestments,7674.70,,,2024,Interim
Cashand Short Term Investments ,CashandShortTermInvestments,8385.40,,,2024,Interim
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,8029.80,,,2024,Interim
Total Receivables Net ,TotalReceivablesNet,8029.80,,,2024,Interim
Total Inventory ,TotalInventory,6355.20,,,2024,Interim
Other Current Assets Total ,OtherCurrentAssetsTotal,2034.90,,,2024,Interim
Total Current Assets ,TotalCurrentAssets,24805.30,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,7599.70,,,2024,Interim
Goodwill Net ,GoodwillNet,550.10,,,2024,Interim
Intangibles Net ,IntangiblesNet,3695.10,,,2024,Interim
Long Term Investments ,LongTermInvestments,646.70,,,2024,Interim
Note Receivable- Long Term ,NoteReceivable-LongTerm,371.80,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,1195.10,,,2024,Interim
Total Assets ,TotalAssets,38863.80,,,2024,Interim
Accounts Payable ,AccountsPayable,2614.40,,,2024,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2024,Interim
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,1403.00,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,5570.60,,,2024,Interim
Total Current Liabilities ,TotalCurrentLiabilities,9588.00,,,2024,Interim
Long Term Debt ,LongTermDebt,380.00,,,2024,Interim
Capital Lease Obligations ,CapitalLeaseObligations,219.00,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,599.00,,,2024,Interim
Total Debt ,TotalDebt,2002.00,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,84.10,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,337.90,,,2024,Interim
Total Liabilities ,TotalLiabilities,10609.00,,,2024,Interim
Common Stock Total ,CommonStockTotal,83.40,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),28171.40,,,2024,Interim
Total Equity ,TotalEquity,28254.80,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,38863.80,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,83.26,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,288.35,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
