displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,37922.00,,,2024,Interim
Total Revenue ,TotalRevenue,37922.00,,,2024,Interim
Costof Revenue Total ,CostofRevenueTotal,26747.00,,,2024,Interim
Gross Profit ,GrossProfit,11175.00,,,2024,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,3652.00,,,2024,Interim
Unusual Expense( Income) ,UnusualExpense(Income),-98,,,2024,Interim
Total Operating Expense ,TotalOperatingExpense,30301.00,,,2024,Interim
Operating Income ,OperatingIncome,7621.00,,,2024,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,615.00,,,2024,Interim
Other Net ,OtherNet,2004.00,,,2024,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,10240.00,,,2024,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,2266.00,,,2024,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,7974.00,,,2024,Interim
Minority Interest ,MinorityInterest,-5,,,2024,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,7969.00,,,2024,Interim
Net Income ,NetIncome,7969.00,,,2024,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,7969.00,,,2024,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,7969.00,,,2024,Interim
Diluted Net Income ,DilutedNetIncome,7969.00,,,2024,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,414.82,,,2024,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,19.21,,,2024,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,20.00,,,2024,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,19.03,,,2024,Interim
period Length ,periodLength,3,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
