tickerId,companyName,remarks,recordDate,xdDate,interimOrFinal,instrumentType,value,percentage,dateOfAnnouncement,bookClosureStartDate,bookClosureEndDate,sortDate
S0003032,Infosys,Rs.22.0000 per share(440%)Final Dividend,2025-05-30,2025-05-30,Final,5,22.0,440,2025-04-17,,,2025-05-30
S0003032,Infosys,Rs.21.0000 per share(420%)Interim Dividend,2024-10-29,2024-10-29,Interim,5,21.0,420,2024-10-17,,,2024-10-29
S0003032,Infosys,Rs.20.0000 per share(400%)Final Dividend,2024-05-31,2024-05-31,Final,5,20.0,400,2024-04-18,,,2024-05-31
S0003032,Infosys,Rs.8.0000 per share(160%)Special Dividend,2024-05-31,2024-05-31,Special,5,8.0,160,2024-04-19,,,2024-05-31
S0003032,Infosys,Rs.18.0000 per share(360%)Interim Dividend,2023-10-25,2023-10-25,Interim,5,18.0,360,2023-10-12,,,2023-10-25
S0003032,Infosys,Rs.17.5000 per share(350%)Final Dividend,2023-06-02,2023-06-02,Final,5,17.5,350,2023-04-13,,,2023-06-02
S0003032,Infosys,Rs.16.5000 per share(330%)Interim Dividend,2022-10-28,2022-10-27,Interim,5,16.5,330,2022-10-13,,,2022-10-27
S0003032,Infosys,Rs.16.0000 per share(320%)Final Dividend,2022-06-01,2022-05-31,Final,5,16.0,320,2022-04-13,,,2022-05-31
S0003032,Infosys,Rs.15.0000 per share(300%)Interim Dividend,2021-10-27,2021-10-26,Interim,5,15.0,300,2021-10-13,,,2021-10-26
S0003032,Infosys,Rs.15.0000 per share(300%)Final Dividend,2021-06-01,2021-05-31,Final,5,15.0,300,2021-04-15,,,2021-05-31
