displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,-25.85
"Revenue growth rate, 5 year",revenueGrowthRate5Year,9.31
"EPS growth rate, 5 year",ePSGrowthRate5Year,27.38
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,-0.77
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,5.27
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,-7.33
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),9.32
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,20.02
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,14.82
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,10.15
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,0.25
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,2.07
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,7.64
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,10.86
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),-26.98
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,16.47
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,10.39
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,7.72
