Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,35,46,25,36,5,33,21
ThirtyDaysAgo,INR,39,52,26,39,6,38,20
SixtyDaysAgo,INR,41,52,30,40,5,40,20
NinetyDaysAgo,INR,41,52,30,39,5,41,19
OneWeekAgo,INR,39,51,29,40,6,37,20
ThirtyDaysAgo,INR,42,55,31,42,6,41,20
SixtyDaysAgo,INR,43,55,32,43,5,43,20
NinetyDaysAgo,INR,43,55,32,42,6,43,19
OneWeekAgo,INR,41,51,32,42,7,40,7
