tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003020,Hdfc Bank,,2025-02-24,,2025-03-28,POM
S0003020,Hdfc Bank,,2024-12-12,,2025-01-13,POM
S0003020,Hdfc Bank,,2024-07-18,,2024-08-09,AGM
S0003020,Hdfc Bank,,2024-02-26,,2024-03-31,POM
S0003020,Hdfc Bank,,2023-12-05,,2024-01-11,POM
S0003020,Hdfc Bank,,2023-06-30,,2023-08-11,AGM
S0003020,Hdfc Bank,,2023-02-20,,2023-03-28,POM
S0003020,Hdfc Bank,,2022-06-10,,2022-07-16,AGM
S0003020,Hdfc Bank,,2022-04-12,,2022-05-17,POM
S0003020,Hdfc Bank,,2022-02-24,,2022-03-29,POM
S0003020,Hdfc Bank,,2021-06-18,,2021-07-17,AGM
