displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,154567.98,,,2022,Annual
Other Earning Assets Total ,OtherEarningAssetsTotal,461877.79,,,2022,Annual
Net Loans ,NetLoans,1409146.10,,,2022,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,17983.21,,,2022,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-11699.93,,,2022,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,6283.28,,,2022,Annual
Goodwill Net ,GoodwillNet,148.79,,,2022,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,7143.82,,,2022,Annual
Other Assets Total ,OtherAssetsTotal,83766.54,,,2022,Annual
Total Assets ,TotalAssets,2122934.30,,,2022,Annual
Accrued Expenses ,AccruedExpenses,8241.11,,,2022,Annual
Total Deposits ,TotalDeposits,1558003.03,,,2022,Annual
Total Short Term Borrowings ,TotalShortTermBorrowings,13093.74,,,2022,Annual
Long Term Debt ,LongTermDebt,226966.50,,,2022,Annual
Total Long Term Debt ,TotalLongTermDebt,226966.50,,,2022,Annual
Total Debt ,TotalDebt,240060.24,,,2022,Annual
Minority Interest ,MinorityInterest,720.41,,,2022,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,68583.34,,,2022,Annual
Total Liabilities ,TotalLiabilities,1875608.13,,,2022,Annual
Common Stock Total ,CommonStockTotal,554.55,,,2022,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,63119.16,,,2022,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),183072.88,,,2022,Annual
ESOP Debt Guarantee ,ESOPDebtGuarantee,340.52,,,2022,Annual
Other Equity Total ,OtherEquityTotal,239.06,,,2022,Annual
Total Equity ,TotalEquity,247326.17,,,2022,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,2122934.30,,,2022,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,554.55,,,2022,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,445.72,,,2022,Annual
period Length ,periodLength,0.00,,,2022,Annual
