displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,191108.15,,,2025,Interim
Other Earning Assets Total ,OtherEarningAssetsTotal,1030476.45,,,2025,Interim
Net Loans ,NetLoans,2549401.69,,,2025,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,13293.51,,,2025,Interim
Goodwill Net ,GoodwillNet,0.00,,,2025,Interim
Other Assets Total ,OtherAssetsTotal,222258.14,,,2025,Interim
Total Assets ,TotalAssets,4006537.94,,,2025,Interim
Total Deposits ,TotalDeposits,2376845.66,,,2025,Interim
Long Term Debt ,LongTermDebt,673354.23,,,2025,Interim
Total Long Term Debt ,TotalLongTermDebt,673354.23,,,2025,Interim
Total Debt ,TotalDebt,673354.23,,,2025,Interim
Minority Interest ,MinorityInterest,14393.83,,,2025,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,466108.17,,,2025,Interim
Total Liabilities ,TotalLiabilities,3530701.89,,,2025,Interim
Common Stock Total ,CommonStockTotal,760.81,,,2025,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),472019.13,,,2025,Interim
ESOP Debt Guarantee ,ESOPDebtGuarantee,3056.11,,,2025,Interim
Total Equity ,TotalEquity,475836.05,,,2025,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,4006537.94,,,2025,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,760.81,,,2025,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,625.43,,,2025,Interim
period Length ,periodLength,0.00,,,2025,Interim
