id,text,created_at,retweet_count,reply_count,like_count,quote_count,view_count,lang,username,author_name,url
1915613178626519302,"The first thing they need to teach Simmons when he gets to KC is how to do that false start that Jawaan Taylor does every single snap lmao

Get an actually good LT, and now he and your RT are getting away with false starts every snap?

Could be a move",Fri Apr 25 03:45:46 +0000 2025,0,0,1,0,85,en,Tyler_Lennon,Tyler,https://x.com/Tyler_Lennon/status/1915613178626519302
1913701781064065057,"@NotoriousCal_ @GPN_Gaming @LosTalksPats @FitzyGFY @AshtonJeanty2 ""and both guys have been rotated around the line in college."" Sorry, but that is completely false. Membou played 29 games at RT and 6 games at Guard, never once at LT. Campbell played ONLY at Left Tackle, 38 games worth. They don't need an RT, just signed one.",Sat Apr 19 21:10:34 +0000 2025,0,1,0,0,25,en,WayneMichaelDe1,Wayne Michael DeHart,https://x.com/WayneMichaelDe1/status/1913701781064065057
1908011962916864391,"@Oaklraiders1976 @JDdaSCRaider That’s false look at any website any NFL website here

https://t.co/QrJG1rwDnA
Henry Lawerence was drafted in 1974 as a RT, Vella played at USC, started at LT, but was moved to Rt. It’s all in raiders media. It’s not hard to find but the lazy Raiders history guy never does.",Fri Apr 04 04:21:15 +0000 2025,0,1,1,1,847,en,NVSportsNews,NVSportsNews,https://x.com/NVSportsNews/status/1908011962916864391
1901022297684931066,"@AreOhEssEyeEe Carter is the older bro on the LT. Anderson is in the RT photo.  Totally false comparison. Moot point, and completely false premise. Id delete this post as it removes credibility from the poster.",Sat Mar 15 21:26:49 +0000 2025,0,0,0,0,15,en,jacki_bloo,Jacki Bloo 🇺🇸🇷🇺,https://x.com/jacki_bloo/status/1901022297684931066
1900942960033751532,@SavageSports_ False! Because now they got rid of nost of the holes or upgraded in defense ALSO shored up RT with Morgan Moses. They left themselves primarily with WR and LT and can hyperfocus on finding the best talent at each position in round 1 and 2.,Sat Mar 15 16:11:34 +0000 2025,0,1,0,0,175,en,MrPatsVigilante,The Patriots Vigilante,https://x.com/MrPatsVigilante/status/1900942960033751532
1889286714528588115,"@geoffschwartz Uhm.  No.  Offensive line first and foremost.  Mr false start, illegal motion RT needs to go.  they need to address #65 and they need to address LT.  
Just like they did after they got stomped by TB12.",Tue Feb 11 12:13:48 +0000 2025,0,0,0,0,3,en,3volutionBBQ,Ben Garrett,https://x.com/3volutionBBQ/status/1889286714528588115
1886994002693775502,@KC_Sec_302 @LoechnerNFL @SamMonsonNFL First off a LT false start is something your RT is allowed to do every game so really??? Also the facemask was hard to see but ya that's a miss but the two plays in question were both reviewed and still held.,Wed Feb 05 04:23:23 +0000 2025,0,2,1,0,93,en,The_FantasyGold,Peter Cardinale,https://x.com/The_FantasyGold/status/1886994002693775502
1885899404978078033,Chiefs had to move their LG to LT…. Their RT consistently false starts.. this is wild lmaoo,Sun Feb 02 03:53:51 +0000 2025,0,0,0,0,88,en,ThaBowlerr,Are U Sure?🦅,https://x.com/ThaBowlerr/status/1885899404978078033
1881073149334389068,"Trey Smith never developed his Pass Pro….whom is gonna rest the market first him?😂
Mahomes is playing with 🗑️weapons, NO LT, the worst RT in the league, practice Squad LG but Veach’s Team are paying @Schultz_Report to spread false information like a Russian propaganda machine. https://t.co/a3aOg0Ur2B",Sun Jan 19 20:16:02 +0000 2025,0,0,0,1,389,en,chiefs_Alpha,Clark Hunt & Brett Veach are terrorists 🫥,https://x.com/chiefs_Alpha/status/1881073149334389068
1881027362642600296,This is why people hate Mahomes and the bias he gets from the refs. This nonsense right here. Refs call absurd fouls on the Chiefs opponents but never call the LT or RT holding or false starts. Just unbelievable how low the NFL product has fallen.,Sun Jan 19 17:14:05 +0000 2025,0,0,0,0,95,en,gringosuavex,Kuug,https://x.com/gringosuavex/status/1881027362642600296
