,0
2025-01-13,0.007168526906956128
2025-01-14,0.0018775264766910367
2025-01-15,0.0020865410008826008
2025-01-16,-0.007501432775795227
2025-01-17,0.010861002049069354
2025-01-20,-0.01141900226055358
2025-01-21,0.0109065738112867
2025-01-22,0.006112277909282198
2025-01-23,-0.009563645579779873
2025-01-24,-0.024752497031499888
2025-01-27,0.0005251476529803927
2025-01-28,0.015066543910844131
2025-01-29,0.006341164824868267
2025-01-30,0.016808377291777293
2025-01-31,-0.012342526451411944
2025-02-03,0.021400665153915626
2025-02-04,0.0062166593874387445
2025-02-05,-0.005364191639516346
2025-02-06,0.014493954137274466
2025-02-07,-0.014744631191659438
2025-02-10,-0.01995070584959463
2025-02-11,-0.00204452981140162
2025-02-12,0.0010754431953214451
2025-02-13,-0.009830083069070152
2025-02-14,0.004492160424867421
2025-02-17,0.0045257101072276535
2025-02-18,0.005470893895943453
2025-02-19,0.008019842303259075
2025-02-20,-0.004428034406135947
2025-02-21,-0.018254481211007357
2025-02-24,-0.0008427558134800985
2025-02-25,-5.495113713774477e-10
2025-02-26,0.0005780054059552711
2025-02-27,-0.02345347177232477
2025-02-28,0.003152099512355292
2025-03-03,-0.0038857318749731785
2025-03-04,0.022337685817585728
2025-03-05,0.005351862225067919
2025-03-06,0.0001839344691606915
2025-03-07,-0.0016305351423301494
2025-03-10,0.004929241678062602
2025-03-11,-0.0014484215054848283
2025-03-12,-0.005994864694348976
2025-03-13,-6.398866038443921e-10
2025-03-14,0.001093704942034287
2025-03-17,0.00879017420291788
2025-03-18,0.016652213770619154
2025-03-19,0.007593163143913449
2025-03-20,0.009518676146989273
2025-03-21,0.017832065431518492
2025-03-24,0.0005345527639072324
2025-03-25,-0.007721207992882062
2025-03-26,0.011313592528325886
2025-03-27,0.011419855079111469
2025-03-28,-5.576371341299083e-10
2025-03-31,-0.006075227973176985
2025-04-01,0.020103874693182866
2025-04-02,0.010181109710505128
2025-04-03,-0.006116342821195382
2025-04-04,-0.0197033150228685
2025-04-07,0.02124229773457491
2025-04-08,0.00038180391919771014
2025-04-09,-5.793532288973756e-10
2025-04-10,0.010644812497585901
2025-04-11,-0.0002000001710161562
2025-04-14,0.0182599267727236
2025-04-15,0.0009522707349844065
2025-04-16,0.008790369582282095
2025-04-17,-0.0003999985241894875
2025-04-18,0.006800462444190885
2025-04-21,-0.0025333813026427814
2025-04-22,0.01754041395284905
2025-04-23,-0.003058746931914863
2025-04-24,-0.009667931176955136
2025-04-25,0.01733314638454048
2025-04-28,-0.004035854258092168
2025-04-29,1.1225213519588229e-05
2025-04-30,-0.00020000021528510619
2025-05-01,0.004712814144114944
2025-05-02,0.002153781662440614
2025-05-05,-0.0045307302249766295
2025-05-06,0.002169672059750016
2025-05-07,-0.003978795502574863
2025-05-08,-0.0004921944921342713
2025-05-09,0.050206590490180183
2025-05-12,-0.014608972290452318
2025-05-13,0.007229290690915659
2025-05-14,0.017526415523896534
2025-05-15,0.001316597368092853
2025-05-16,-0.0038588064594009615
2025-05-19,-0.010337244817971946
2025-05-20,0.003481920669439676
2025-05-21,-0.011984698132559894
2025-05-22,0.007065149772993708
2025-05-23,0.0040269380880907394
2025-05-26,-0.0054547732376215964
2025-05-27,-0.005206047477676367
2025-05-28,0.0010326874960759572
2025-05-29,-0.0074300293209055785
2025-05-30,-0.0031052967397870498
2025-06-02,-0.001518943128620817
2025-06-03,0.0012269069544032802
2025-06-04,0.002423529696704965
2025-06-05,0.004805502584062828
2025-06-06,-0.000399996743006255
