Date,Volume,Delivery (%)
2025-04-15,21682491,39.0
2025-04-16,12966834,38.0
2025-04-17,15512925,36.0
2025-04-21,13629761,39.0
2025-04-22,11636250,48.0
2025-04-23,25599507,37.0
2025-04-24,16808405,32.0
2025-04-25,14393354,34.0
2025-04-28,10882478,40.0
2025-04-29,14987973,31.0
2025-04-30,20962136,55.0
2025-05-02,14025440,34.0
2025-05-05,9564007,32.0
2025-05-06,14186465,42.0
2025-05-07,31981158,33.0
2025-05-08,31563124,30.0
2025-05-09,42597763,30.0
2025-05-12,21974432,36.0
2025-05-13,18177987,40.0
2025-05-14,33882495,31.0
2025-05-15,31486535,26.0
2025-05-16,21829250,
2025-05-19,11431900,38.0
2025-05-20,15100942,42.0
2025-05-21,9464666,29.0
2025-05-22,10467461,39.0
2025-05-23,8527335,45.0
2025-05-26,13744422,34.0
2025-05-27,13301101,43.0
2025-05-28,8054181,43.0
2025-05-29,9540670,37.0
2025-05-30,15062491,51.0
2025-06-02,10192572,41.0
2025-06-03,9796958,40.0
2025-06-04,11809491,37.0
2025-06-05,11357431,43.0
2025-06-06,12646494,
