displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,7.20
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,1.50
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,0.93
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,2.90
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,1.50
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,0.93
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,2.10
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),2.10
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,2.76
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,2.99
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,2.93
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,0.53
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,0.53
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),2.99
Return on investment - 5 year average,returnOnInvestment5YearAverage,4.36
