displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,5150.00,,,2023,Annual
Depreciation/ Depletion ,Depreciation/Depletion,2547.00,,,2023,Annual
Non- Cash Items ,Non-CashItems,2685.00,,,2023,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-2631,,,2023,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,7751.00,,,2023,Annual
Capital Expenditures ,CapitalExpenditures,-2360,,,2023,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,870.00,,,2023,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-1490,,,2023,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-3211,,,2023,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-750,,,2023,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,2699.00,,,2023,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-4965,,,2023,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-6227,,,2023,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,136.00,,,2023,Annual
Net Changein Cash ,NetChangeinCash,170.00,,,2023,Annual
Cash Interest Paid ,CashInterestPaid,2345.00,,,2023,Annual
Cash Taxes Paid ,CashTaxesPaid,1262.00,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
