Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,33,55,18,32,9,32,18
ThirtyDaysAgo,INR,37,55,26,34,8,35,18
SixtyDaysAgo,INR,37,55,26,34,8,35,18
NinetyDaysAgo,INR,36,55,16,34,9,36,19
OneWeekAgo,INR,48,69,27,45,10,47,18
ThirtyDaysAgo,INR,51,69,37,49,9,48,18
SixtyDaysAgo,INR,51,69,37,49,9,49,18
NinetyDaysAgo,INR,51,69,37,49,9,49,18
OneWeekAgo,INR,54,77,38,52,12,52,5
