tickerId,companyName,remarks,recordDate,xdDate,interimOrFinal,instrumentType,value,percentage,dateOfAnnouncement,bookClosureStartDate,bookClosureEndDate,sortDate
S0003060,Bharat Petroleum Corp,Rs.5.0000 per share(50%)Final Dividend,,,Final,5,5.0,50,2025-04-29,,,2025-04-29
S0003060,Bharat Petroleum Corp,Rs.5.0000 per share(50%)Interim Dividend,2025-01-29,2025-01-29,Interim,5,5.0,50,2025-01-22,,,2025-01-29
S0003060,Bharat Petroleum Corp,Rs.10.5000 per share(105%)Final Dividend Post Bonus,2024-08-09,2024-08-09,Final,5,10.5,105,2024-05-09,,,2024-08-09
S0003060,Bharat Petroleum Corp,Rs.21.0000 per share(210%)Interim Dividend,2023-12-12,2023-12-12,Interim,5,21.0,210,2023-11-29,,,2023-12-12
S0003060,Bharat Petroleum Corp,Rs.4.0000 per share(40%)Dividend,2023-08-11,2023-08-11,Final,5,4.0,40,2023-05-22,,,2023-08-11
S0003060,Bharat Petroleum Corp,Rs.5.0000 per share(50%)Second Interim Dividend,2022-02-11,2022-02-10,Interim,5,5.0,50,2022-01-31,,,2022-02-10
S0003060,Bharat Petroleum Corp,Rs.5.0000 per share(50%)Interim Dividend,2021-11-12,2021-11-11,Interim,5,5.0,50,2021-10-29,,,2021-11-11
S0003060,Bharat Petroleum Corp,Rs.23.0000 per share(230%)Final Dividend,,2021-09-16,Final,5,23.0,230,2021-05-26,2021-09-18,2021-09-27,2021-09-16
S0003060,Bharat Petroleum Corp,Rs.35.0000 per share(350%)Special Dividend,,2021-09-16,Special,5,35.0,350,2021-05-27,2021-09-18,2021-09-27,2021-09-16
S0003060,Bharat Petroleum Corp,Rs.5.0000 per share (50%) Second Interim Dividend,2021-03-27,2021-03-25,Interim,5,5.0,50,2021-03-16,,,2021-03-25
S0003060,Bharat Petroleum Corp,Rs.16.0000 per share(160%)Interim Dividend,2021-02-19,2021-02-17,Interim,5,16.0,160,2021-02-08,,,2021-02-17
