Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,104080.0,98126.0,5954.0,6.0,1131.0,752.0,1603.0,4730.0,41.0,2803.0,6.46
2022-06-01,121082.0,126906.0,-5824.0,-5.0,615.0,710.0,1617.0,-7537.0,-18.0,-6148.0,-14.17
2022-09-01,114820.0,113406.0,1415.0,1.0,673.0,937.0,1561.0,-410.0,-17.0,-338.0,-0.78
2022-12-01,119170.0,114957.0,4213.0,4.0,415.0,1128.0,1586.0,1913.0,9.0,1747.0,4.03
2023-03-01,118115.0,107031.0,11085.0,9.0,523.0,1148.0,1605.0,8854.0,22.0,6870.0,15.84
2023-06-01,112985.0,97200.0,15785.0,14.0,1003.0,1071.0,1614.0,14103.0,25.0,10644.0,24.53
2023-09-01,103044.0,90104.0,12941.0,13.0,911.0,1190.0,1605.0,11056.0,25.0,8244.0,19.0
2023-12-01,115499.0,109300.0,6199.0,5.0,919.0,920.0,1830.0,4367.0,27.0,3181.0,7.33
2024-03-01,116555.0,107600.0,8955.0,8.0,403.0,967.0,1722.0,6669.0,28.0,4790.0,11.04
2024-06-01,113095.0,107468.0,5627.0,5.0,807.0,889.0,1686.0,3859.0,26.0,2842.0,6.55
2024-09-01,102785.0,98268.0,4517.0,4.0,1278.0,923.0,1779.0,3094.0,26.0,2297.0,5.29
2024-12-01,113166.0,105710.0,7456.0,7.0,548.0,861.0,1810.0,5333.0,29.0,3806.0,8.77
2025-03-01,111230.0,103494.0,7737.0,7.0,1061.0,919.0,1982.0,5897.0,26.0,4392.0,10.12
