tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003060,Bharat Petroleum Corp,,2025-02-25,,2025-04-01,POM
S0003060,Bharat Petroleum Corp,,2024-08-09,,2024-08-30,AGM
S0003060,Bharat Petroleum Corp,,2024-02-27,,2024-03-29,POM
S0003060,Bharat Petroleum Corp,,2023-08-02,,2023-08-28,AGM
S0003060,Bharat Petroleum Corp,,2023-02-15,,2023-03-21,POM
S0003060,Bharat Petroleum Corp,,2022-04-27,,2022-06-03,COM
S0003060,Bharat Petroleum Corp,,2022-03-16,,2022-04-21,COM
S0003060,Bharat Petroleum Corp,,2022-03-21,,2022-04-19,POM
S0003060,Bharat Petroleum Corp,,2021-08-12,,2021-09-27,AGM
S0003060,Bharat Petroleum Corp,,2021-03-02,,2021-03-25,EGM
