tickerId,companyName,priceToBookValueRatio,priceToEarningsValueRatio,marketCap,price,percentChange,netChange,returnOnAverageEquity5YearAverage,returnOnAverageEquityTrailing12Month,ltDebtPerEquityMostRecentFiscalYear,netProfitMargin5YearAverage,netProfitMarginPercentTrailing12Month,dividendYieldIndicatedAnnualDividend,totalSharesOutstanding,languageSupport,imageUrl,overallRating,ylow,yhigh
S0005253,Life Insurance Corporation Of In,4.74,12.65,606156.16,958.35,0.19,1.8,62.62,46.03,0.0,2.91,4.89,1.26,632.5,Life Insurance Corporation Of In,https://logo.clearbit.com/licindia.in/,Bullish,715.35,1221.5
S0003036,Bajaj Finserv,4.31,21.4,317868.96,1989.4,2.36,45.9,13.83,13.37,392.91,13.39,13.12,0.05,159.78,Bajaj Finserv,https://logo.clearbit.com/bajajfinserv.in/,Neutral,1419.0,2134.45
S0003216,Sbi Life Insurance Company,10.48,74.72,178800.33,1782.55,0.48,8.45,14.31,15.13,0.0,1.82,2.06,0.19,100.31,Sbi Life Insurance Company,https://logo.clearbit.com/sbilife.co.in/,Bullish,1307.0,1935.0
S0003103,Hdfc Life Insurance Company,10.11,85.88,162379.88,754.0,-0.97,-7.4,11.74,11.75,18.26,1.96,1.86,0.28,215.36,Hdfc Life Insurance Company,https://images.mintgenie.com/prod/stock/H.png,Neutral,511.1,791.05
S0003017,Icici Prudential Life Insurance,7.79,79.22,92025.65,636.5,-0.17,-1.1,9.33,10.34,21.79,1.28,1.67,0.13,144.58,Icici Prudential Life Insurance,https://logo.clearbit.com/iciciprulife.com/,Neutral,516.45,795.0
