Date,50 DMA
2025-05-15,1952.35
2025-05-16,1955.54
2025-05-19,1958.78
2025-05-20,1960.6
2025-05-21,1963.61
2025-05-22,1965.08
2025-05-23,1967.88
2025-05-26,1971.2
2025-05-27,1973.5
2025-05-28,1975.42
2025-05-29,1976.81
2025-05-30,1978.4
2025-06-02,1980.39
2025-06-03,1980.84
2025-06-04,1979.87
2025-06-05,1978.46
2025-06-06,1978.91
