displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,5765.02,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,3827.24,,,2024,Interim
Goodwill Net ,GoodwillNet,689.34,,,2024,Interim
Intangibles Net ,IntangiblesNet,1128.71,,,2024,Interim
Long Term Investments ,LongTermInvestments,495156.89,,,2024,Interim
Insurance Receivables ,InsuranceReceivables,5973.86,,,2024,Interim
Note Receivable- Long Term ,NoteReceivable-LongTerm,435.84,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,7649.81,,,2024,Interim
Other Assets Total ,OtherAssetsTotal,17302.92,,,2024,Interim
Total Assets ,TotalAssets,537929.63,,,2024,Interim
Accounts Payable ,AccountsPayable,6277.42,,,2024,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,60150.92,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,2292.16,,,2024,Interim
Long Term Debt ,LongTermDebt,227447.91,,,2024,Interim
Capital Lease Obligations ,CapitalLeaseObligations,1333.79,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,228781.70,,,2024,Interim
Total Debt ,TotalDebt,288932.62,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,514.49,,,2024,Interim
Minority Interest ,MinorityInterest,43447.21,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,136137.09,,,2024,Interim
Total Liabilities ,TotalLiabilities,477600.99,,,2024,Interim
Common Stock Total ,CommonStockTotal,159.41,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),60169.23,,,2024,Interim
Total Equity ,TotalEquity,60328.64,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,537929.63,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,159.26,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,367.40,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
