displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,237482.10
Revenue - trailing 12 month,revenueTrailing12Month),1338171.00
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,88723.10
EBITD - trailing 12 month,eBITDTrailing12Month,571567.50
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,88723.10
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,91.95
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,1338171.00
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,147481.50
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,237482.10
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,316957.90
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,571567.50
