CalendarMonth,CalendarYear,FiscalYear,ActualReportDate,Type,CurrencyCode,Reported,ReportedDate,SurprisePercent,SurpriseMean,SUE,NumEstimates,Mean,High,Low,Median,StandardDeviation,SmartEstimate
3,2024,2024,2024-05-23T15:27:00,Actual,INR,7.71,2024-05-23T15:27:00,0.29,7.69,0.06,9,,,,,,
3,2025,2025,2025-05-20T10:03:00,Actual,INR,11.44,2025-05-20T10:03:00,4.14,10.99,1.57,10,,,,,,
3,2026,2026,,Estimate,INR,,,,,,11,13.0,15.0,12.0,13.0,0.0,13.0
3,2027,2027,,Estimate,INR,,,,,,11,17.0,19.0,15.0,16.0,1.0,17.0
3,2028,2028,,Estimate,INR,,,,,,6,20.0,22.0,19.0,20.0,0.0,20.0
