Date,Volume,Delivery (%)
2024-06-06,37628148,34.0
2024-06-07,36059537,38.0
2024-06-10,20927272,37.0
2024-06-11,31030177,37.0
2024-06-12,30512657,41.0
2024-06-13,18058706,44.0
2024-06-14,24580424,43.0
2024-06-18,18501597,51.0
2024-06-19,19437293,52.0
2024-06-20,17760199,42.0
2024-06-21,20282915,55.0
2024-06-24,15342264,39.0
2024-06-25,15971875,55.0
2024-06-26,11394552,49.0
2024-06-27,26989901,
2024-06-28,17180951,44.0
2024-07-01,20238566,55.0
2024-07-02,34119924,58.0
2024-07-03,21917404,59.0
2024-07-04,27994750,60.0
2024-07-05,27671960,55.0
2024-07-08,32513149,59.0
2024-07-09,31125378,57.0
2024-07-10,37660803,55.0
2024-07-11,61305290,56.0
2024-07-12,38532685,50.0
2024-07-15,34615675,58.0
2024-07-16,35174172,57.0
2024-07-18,23377119,47.0
2024-07-19,27439117,46.0
2024-07-22,18670659,45.0
2024-07-23,22793259,37.0
2024-07-24,17499329,47.0
2024-07-25,78540755,55.0
2024-07-26,30128604,49.0
2024-07-29,47402502,47.0
2024-07-30,79014784,34.0
2024-07-31,36044471,40.0
2024-08-01,27292468,38.0
2024-08-02,29158086,37.0
2024-08-05,39413770,34.0
2024-08-06,19670308,40.0
2024-08-07,16220261,31.0
2024-08-08,15726804,52.0
2024-08-09,14543851,51.0
2024-08-12,12593117,39.0
2024-08-13,17409878,47.0
2024-08-14,15589434,44.0
2024-08-16,11589923,35.0
2024-08-19,11918720,34.0
2024-08-20,16116095,38.0
2024-08-21,16201070,41.0
2024-08-22,12708151,42.0
2024-08-23,14391019,44.0
2024-08-26,9477820,44.0
2024-08-27,11675297,47.0
2024-08-28,15965128,36.0
2024-08-29,23469352,44.0
2024-08-30,23312357,49.0
2024-09-02,28086084,33.0
2024-09-03,12290381,43.0
2024-09-04,24809159,33.0
2024-09-05,50159836,39.0
2024-09-06,32971214,37.0
2024-09-09,16167489,38.0
2024-09-10,15267656,56.0
2024-09-11,31271264,44.0
2024-09-12,19430862,46.0
2024-09-13,15533755,46.0
2024-09-16,8785814,48.0
2024-09-17,6681410,41.0
2024-09-18,11583317,44.0
2024-09-19,20749793,45.0
2024-09-20,21753723,59.0
2024-09-23,10467562,44.0
2024-09-24,10403581,50.0
2024-09-25,9482489,42.0
2024-09-26,11831992,47.0
2024-09-27,56550023,48.0
2024-09-30,34574988,36.0
2024-10-01,18213493,41.0
2024-10-03,26462284,44.0
2024-10-04,26318919,38.0
2024-10-07,21343511,42.0
2024-10-08,16054451,34.0
2024-10-09,21641192,41.0
2024-10-10,10868558,34.0
2024-10-11,9402568,47.0
2024-10-14,15609005,45.0
2024-10-15,23503821,29.0
2024-10-16,22163918,30.0
2024-10-17,13679480,44.0
2024-10-18,12114267,30.0
2024-10-21,21317160,45.0
2024-10-22,16416586,44.0
2024-10-23,17969185,33.0
2024-10-24,9323858,43.0
2024-10-25,21663783,45.0
2024-10-28,22900745,39.0
2024-10-29,38197203,26.0
2024-10-30,18143086,40.0
2024-10-31,19650102,47.0
2024-11-01,4659610,58.0
2024-11-04,49973254,42.0
2024-11-05,19450645,42.0
2024-11-06,19650600,37.0
2024-11-07,15718835,40.0
2024-11-08,16464859,42.0
2024-11-11,18703143,47.0
2024-11-12,11486391,32.0
2024-11-13,13764587,41.0
2024-11-14,18787140,40.0
2024-11-18,13723581,42.0
2024-11-19,13404628,45.0
2024-11-21,17226421,42.0
2024-11-22,13059422,42.0
2024-11-25,23004364,43.0
2024-11-26,9993781,47.0
2024-11-27,19738526,40.0
2024-11-28,18804264,38.0
2024-11-29,14814001,51.0
2024-12-02,16820311,57.0
2024-12-03,14010882,52.0
2024-12-04,13239926,44.0
2024-12-05,14526300,43.0
2024-12-06,22227646,29.0
2024-12-09,16626611,56.0
