displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,881235.45,,,2024,Annual
Total Revenue ,TotalRevenue,881235.45,,,2024,Annual
Costof Revenue Total ,CostofRevenueTotal,774731.84,,,2024,Annual
Gross Profit ,GrossProfit,106503.61,,,2024,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,26749.03,,,2024,Annual
Research Development ,ResearchDevelopment,1934.98,,,2024,Annual
Depreciation/ Amortization ,Depreciation/Amortization,15857.08,,,2024,Annual
Unusual Expense( Income) ,UnusualExpense(Income),283.50,,,2024,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,358.50,,,2024,Annual
Total Operating Expense ,TotalOperatingExpense,819914.93,,,2024,Annual
Operating Income ,OperatingIncome,61320.52,,,2024,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-3183.15,,,2024,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,33.29,,,2024,Annual
Other Net ,OtherNet,-882.87,,,2024,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,57287.79,,,2024,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,14126.64,,,2024,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,43161.15,,,2024,Annual
Minority Interest ,MinorityInterest,-1431.46,,,2024,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,41729.69,,,2024,Annual
Net Income ,NetIncome,41729.69,,,2024,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,41729.69,,,2024,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,41729.69,,,2024,Annual
Diluted Net Income ,DilutedNetIncome,41729.69,,,2024,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,1377.16,,,2024,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,30.30,,,2024,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,12.00,,,2024,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,30.44,,,2024,Annual
period Length ,periodLength,12,,,2024,Annual
period Type ,periodType,Months,,,2024,Annual
