displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,520236.84,,,2021,Annual
Total Revenue ,TotalRevenue,520236.84,,,2021,Annual
Costof Revenue Total ,CostofRevenueTotal,454046.48,,,2021,Annual
Gross Profit ,GrossProfit,66190.36,,,2021,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,22697.92,,,2021,Annual
Research Development ,ResearchDevelopment,1216.46,,,2021,Annual
Depreciation/ Amortization ,Depreciation/Amortization,10863.12,,,2021,Annual
Unusual Expense( Income) ,UnusualExpense(Income),1119.67,,,2021,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,485.47,,,2021,Annual
Total Operating Expense ,TotalOperatingExpense,490429.12,,,2021,Annual
Operating Income ,OperatingIncome,29807.72,,,2021,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,1811.05,,,2021,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-136.50,,,2021,Annual
Other Net ,OtherNet,-731.54,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,30750.73,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,8988.51,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,21762.22,,,2021,Annual
Minority Interest ,MinorityInterest,-124.01,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,21638.21,,,2021,Annual
Net Income ,NetIncome,21638.21,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,21638.21,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,21638.21,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,21638.21,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,1377.15,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,15.71,,,2021,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,8.00,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,16.36,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
