tickerId,companyName,priceToBookValueRatio,priceToEarningsValueRatio,marketCap,price,percentChange,netChange,returnOnAverageEquity5YearAverage,returnOnAverageEquityTrailing12Month,ltDebtPerEquityMostRecentFiscalYear,netProfitMargin5YearAverage,netProfitMarginPercentTrailing12Month,dividendYieldIndicatedAnnualDividend,totalSharesOutstanding,languageSupport,imageUrl,overallRating,yhigh,ylow
S0003056,Indian Oil Corp,1.04,15.77,198756.43,140.75,1.04,1.45,15.77,7.35,31.28,2.94,1.6,8.53,1412.12,Indian Oil Corp,https://logo.clearbit.com/iocl.com/,Neutral,185.95,110.75
S0003060,Bharat Petroleum Corp,1.66,9.78,137377.63,316.65,2.19,6.8,23.9,16.99,43.46,3.13,2.66,3.29,433.85,Bharat Petroleum Corp,https://logo.clearbit.com/bharatpetroleum.in/,Bullish,376.0,234.15
S0000188,Gujarat Natural Resources,4.42,,705.44,54.94,1.99,1.07,-3.87,-2.86,4.58,-28.47,-18.74,,12.84,Gujarat Natural Resources,https://images.mintgenie.com/prod/stock/G.png,Bullish,53.87,9.93
