displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,3304.94,,,2025,Annual
Short Term Investments ,ShortTermInvestments,12628.37,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,15933.31,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,18550.96,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,19904.77,,,2025,Annual
Total Inventory ,TotalInventory,113878.49,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,7926.58,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,157643.15,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,270902.44,,,2025,Annual
Goodwill Net ,GoodwillNet,1.04,,,2025,Annual
Intangibles Net ,IntangiblesNet,8159.97,,,2025,Annual
Long Term Investments ,LongTermInvestments,59186.45,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,4813.17,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,6160.83,,,2025,Annual
Total Assets ,TotalAssets,506867.05,,,2025,Annual
Accounts Payable ,AccountsPayable,60534.94,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,93936.16,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,76143.31,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,230614.41,,,2025,Annual
Long Term Debt ,LongTermDebt,51755.75,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,6578.65,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,58334.40,,,2025,Annual
Total Debt ,TotalDebt,152270.56,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,20664.96,,,2025,Annual
Minority Interest ,MinorityInterest,4537.34,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,6228.62,,,2025,Annual
Total Liabilities ,TotalLiabilities,320379.73,,,2025,Annual
Common Stock Total ,CommonStockTotal,13771.56,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),172715.76,,,2025,Annual
Total Equity ,TotalEquity,186487.32,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,506867.05,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,1377.16,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,129.49,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
