displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,746.83,,,2021,Annual
Cash Equivalents ,CashEquivalents,34.41,,,2021,Annual
Short Term Investments ,ShortTermInvestments,9630.70,,,2021,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,10411.94,,,2021,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,13800.28,,,2021,Annual
Total Receivables Net ,TotalReceivablesNet,19924.68,,,2021,Annual
Total Inventory ,TotalInventory,83427.46,,,2021,Annual
Prepaid Expenses ,PrepaidExpenses,181.99,,,2021,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,2262.62,,,2021,Annual
Total Current Assets ,TotalCurrentAssets,116208.69,,,2021,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,233925.17,,,2021,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-47273.62,,,2021,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,186651.55,,,2021,Annual
Goodwill Net ,GoodwillNet,1.04,,,2021,Annual
Intangibles Net ,IntangiblesNet,6722.74,,,2021,Annual
Long Term Investments ,LongTermInvestments,35434.21,,,2021,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,7079.36,,,2021,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,2818.33,,,2021,Annual
Total Assets ,TotalAssets,354915.92,,,2021,Annual
Accounts Payable ,AccountsPayable,37247.97,,,2021,Annual
Accrued Expenses ,AccruedExpenses,2591.55,,,2021,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,47580.01,,,2021,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,8138.19,,,2021,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,66617.17,,,2021,Annual
Total Current Liabilities ,TotalCurrentLiabilities,162174.89,,,2021,Annual
Long Term Debt ,LongTermDebt,54685.01,,,2021,Annual
Capital Lease Obligations ,CapitalLeaseObligations,6249.89,,,2021,Annual
Total Long Term Debt ,TotalLongTermDebt,60934.90,,,2021,Annual
Total Debt ,TotalDebt,116653.10,,,2021,Annual
Deferred Income Tax ,DeferredIncomeTax,13964.47,,,2021,Annual
Minority Interest ,MinorityInterest,975.94,,,2021,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,5027.67,,,2021,Annual
Total Liabilities ,TotalLiabilities,243077.87,,,2021,Annual
Common Stock Total ,CommonStockTotal,9414.16,,,2021,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,76.74,,,2021,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),92181.17,,,2021,Annual
Treasury Stock- Common ,TreasuryStock-Common,-233.12,,,2021,Annual
Other Equity Total ,OtherEquityTotal,10399.10,,,2021,Annual
Total Equity ,TotalEquity,111838.05,,,2021,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,354915.92,,,2021,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,1377.15,,,2021,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,76.33,,,2021,Annual
period Length ,periodLength,0.00,,,2021,Annual
