Strategy,Total Return,Annualized Return,Volatility,Sharpe Ratio,Max Drawdown
equal_weight,0.09477004593713301,0.0743889877635906,0.10510580479483889,0.7062431780029093,-0.1274322201092838
volatility_adjusted_equal_weight,0.09949217765033502,0.07805974832732776,0.10335791410725301,0.7537015316288295,-0.12433325244860757
ma_crossover,-0.4979254829120715,-0.42074085788729,0.12197322970056355,-3.4507538176967323,-0.5199508051910181
momentum,-0.23227332782204602,-0.1889798055870041,0.13741338514562298,-1.376420030299784,-0.29175981437858894
black_litterman,-0.2625607805284883,-0.2144401519025727,0.16068633839791496,-1.3355141712787169,-0.3386843689968701
minimum_variance,0.09318086339399301,0.07315289431753857,0.10183130984563493,0.7168145462280662,-0.12463950945961091
technical_analysis,-0.950095074984241,-0.9070305934639993,0.4729110056512961,-1.9183087574232753,-0.9519101354408748
sentiment,-0.9186846482597206,-0.8631127027178039,0.17957094598294152,-4.807411511651452,-0.921340516617812
