Date,Portfolio Value,Returns
2024-06-07,1.025789983801008,0.025789983801008
2024-06-08,1.015552986593636,-0.009979622894580722
2024-06-09,1.0053974567276995,-0.01
2024-06-10,0.9953434821604226,-0.010000000000000002
2024-06-11,0.9886796059621676,-0.006695051826521936
2024-06-12,0.9845150082391707,-0.004212282419787588
2024-06-13,0.980691856547577,-0.003883284317251344
2024-06-14,0.9710975635047969,-0.0097831882448334
2024-06-15,0.9620339862454188,-0.00933333333333333
2024-06-16,0.9526274317132414,-0.009777777777777776
2024-06-18,0.943101157396109,-0.009999999999999998
2024-06-19,0.9137132172578643,-0.031160962859365503
2024-06-20,0.9059604230323475,-0.008484931682156908
2024-06-21,0.8955155216859992,-0.011529092310001713
2024-06-22,0.8873563802661935,-0.00911111111111111
2024-06-24,0.8786800067702574,-0.009777777777777776
2024-06-25,0.865600428323835,-0.01488548543911755
2024-06-26,0.864103820008817,-0.001728982872520067
2024-06-27,0.8634640577897899,-0.0007403765661175097
2024-06-28,0.8568301200927257,-0.0076829343818258485
2024-06-29,0.848416686748252,-0.009819254887495391
2024-07-01,0.8399451311620294,-0.009985135510113236
2024-07-02,0.8380612295411388,-0.002242886530319387
2024-07-03,0.838912457021931,0.001015710369107776
2024-07-04,0.8298203655157338,-0.010837950289203428
2024-07-05,0.8281849266633229,-0.0019708347979558675
2024-07-07,0.820805304095723,-0.008910597536870913
2024-07-08,0.8128058551185368,-0.0097458543911326
2024-07-09,0.8145904078978498,0.0021955461664983286
2024-07-10,0.8123065131030958,-0.0028037339656967865
2024-07-11,0.8082792958955045,-0.0049577556533517055
2024-07-12,0.8085059462104481,0.0002804108877890862
2024-07-13,0.8004753989809269,-0.009932576584205984
2024-07-14,0.8003493224466856,-0.00015750207239568912
2024-07-15,0.7923458292222186,-0.01
2024-07-16,0.7838125559575263,-0.010769632337269564
2024-07-17,0.7770195138058944,-0.008666666666666665
2024-07-18,0.7695946606739714,-0.009555555555555553
2024-07-19,0.7425519851660747,-0.03513885541281454
2024-07-21,0.7353895075587711,-0.009645759152743542
2024-07-22,0.7280356124831834,-0.01
2024-07-23,0.7289469591407428,0.0012517885690386376
2024-07-24,0.7254000542022708,-0.004865792900285887
2024-07-25,0.7260796862197416,0.0009369064884042523
2024-07-26,0.7353779541300922,0.012806125948463148
2024-07-28,0.7280241745887913,-0.01
2024-07-29,0.7292355380960641,0.0016639056085698926
2024-07-30,0.7205328960694161,-0.011933924736264919
2024-07-31,0.7177693499660008,-0.003835419754588112
2024-08-01,0.7133832807469265,-0.0061106944999561215
2024-08-02,0.6947974421868647,-0.026053089638717095
2024-08-03,0.687849467764996,-0.01
