displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,162768.90,,,2024,Interim
Other Earning Assets Total ,OtherEarningAssetsTotal,827162.51,,,2024,Interim
Net Loans ,NetLoans,1260776.20,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,13240.28,,,2024,Interim
Goodwill Net ,GoodwillNet,2474.16,,,2024,Interim
Other Assets Total ,OtherAssetsTotal,97640.98,,,2024,Interim
Total Assets ,TotalAssets,2364063.03,,,2024,Interim
Total Deposits ,TotalDeposits,1443579.95,,,2024,Interim
Long Term Debt ,LongTermDebt,207428.00,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,207428.00,,,2024,Interim
Total Debt ,TotalDebt,207428.00,,,2024,Interim
Minority Interest ,MinorityInterest,13888.42,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,443022.82,,,2024,Interim
Total Liabilities ,TotalLiabilities,2107919.19,,,2024,Interim
Common Stock Total ,CommonStockTotal,1404.68,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),253333.84,,,2024,Interim
ESOP Debt Guarantee ,ESOPDebtGuarantee,1405.32,,,2024,Interim
Total Equity ,TotalEquity,256143.83,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,2364063.03,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,702.23,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,361.23,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
