Date,Revenue,Interest,Expenses,Financing Profit,Financing Margin %,Other Income,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,24999.0,10634.0,21775.0,-7410.0,-30.0,18013.0,0.0,10604.0,24.0,8089.0,11.11
2022-06-01,26159.0,11089.0,18137.0,-3068.0,-12.0,13271.0,0.0,10203.0,25.0,7698.0,10.62
2022-09-01,28850.0,11997.0,22336.0,-5483.0,-19.0,16634.0,0.0,11151.0,25.0,8361.0,11.49
2022-12-01,31619.0,12978.0,22946.0,-4305.0,-14.0,16470.0,0.0,12165.0,25.0,9166.0,12.6
2023-03-01,34439.0,14479.0,25959.0,-6000.0,-17.0,19735.0,0.0,13735.0,25.0,10236.0,14.11
2023-06-01,37106.0,16368.0,21402.0,-663.0,-2.0,15229.0,0.0,14566.0,24.0,11014.0,15.2
2023-09-01,38938.0,17908.0,24560.0,-3530.0,-9.0,18690.0,0.0,15160.0,25.0,11351.0,15.56
2023-12-01,40865.0,19409.0,24929.0,-3473.0,-8.0,18615.0,0.0,15142.0,26.0,11515.0,15.76
2024-03-01,42607.0,20424.0,30604.0,-8421.0,-20.0,24575.0,0.0,16154.0,26.0,12200.0,16.62
2024-06-01,44582.0,21122.0,29387.0,-5927.0,-13.0,22745.0,0.0,16818.0,26.0,12463.0,16.62
2024-09-01,46326.0,22225.0,32221.0,-8120.0,-18.0,26617.0,0.0,18496.0,25.0,13906.0,18.38
2024-12-01,47037.0,22633.0,33510.0,-9106.0,-19.0,27589.0,0.0,18483.0,25.0,13847.0,18.25
2025-03-01,48387.0,23047.0,37588.0,-12248.0,-25.0,31361.0,0.0,19113.0,25.0,14354.0,18.96
