Date,Volume,Delivery (%)
2025-04-15,14097578,68.0
2025-04-16,8609985,62.0
2025-04-17,15790901,56.0
2025-04-21,11159223,62.0
2025-04-22,13811163,69.0
2025-04-23,10901586,63.0
2025-04-24,10750475,66.0
2025-04-25,15974909,48.0
2025-04-28,32373800,57.0
2025-04-29,38954161,70.0
2025-04-30,28856373,73.0
2025-05-02,21282058,68.0
2025-05-05,13114435,73.0
2025-05-06,14395680,71.0
2025-05-07,13702262,73.0
2025-05-08,16679984,61.0
2025-05-09,14057348,74.0
2025-05-12,11466850,65.0
2025-05-13,12400046,51.0
2025-05-14,5890693,54.0
2025-05-15,20656581,55.0
2025-05-16,9375449,
2025-05-19,6746520,61.0
2025-05-20,11941092,69.0
2025-05-21,6643786,55.0
2025-05-22,12522655,60.0
2025-05-23,6861640,57.0
2025-05-26,5173064,57.0
2025-05-27,13943404,52.0
2025-05-28,6205554,62.0
2025-05-29,14081336,69.0
2025-05-30,14016663,60.0
2025-06-02,8568239,57.0
2025-06-03,12756305,59.0
2025-06-04,8439771,71.0
2025-06-05,14143842,54.0
2025-06-06,9466858,
