displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,97225.00,,,2024,Interim
Short Term Investments ,ShortTermInvestments,130135.00,,,2024,Interim
Cashand Short Term Investments ,CashandShortTermInvestments,227360.00,,,2024,Interim
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,31628.00,,,2024,Interim
Total Receivables Net ,TotalReceivablesNet,34145.00,,,2024,Interim
Total Inventory ,TotalInventory,152770.00,,,2024,Interim
Other Current Assets Total ,OtherCurrentAssetsTotal,55825.00,,,2024,Interim
Total Current Assets ,TotalCurrentAssets,470100.00,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,758466.00,,,2024,Interim
Goodwill Net ,GoodwillNet,14989.00,,,2024,Interim
Intangibles Net ,IntangiblesNet,345385.00,,,2024,Interim
Long Term Investments ,LongTermInvestments,122124.00,,,2024,Interim
Note Receivable- Long Term ,NoteReceivable-LongTerm,899.00,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,44023.00,,,2024,Interim
Total Assets ,TotalAssets,1755986.00,,,2024,Interim
Accounts Payable ,AccountsPayable,178377.00,,,2024,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,56642.00,,,2024,Interim
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,49373.00,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,112975.00,,,2024,Interim
Total Current Liabilities ,TotalCurrentLiabilities,397367.00,,,2024,Interim
Long Term Debt ,LongTermDebt,222712.00,,,2024,Interim
Capital Lease Obligations ,CapitalLeaseObligations,17415.00,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,240127.00,,,2024,Interim
Total Debt ,TotalDebt,346142.00,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,72241.00,,,2024,Interim
Minority Interest ,MinorityInterest,132307.00,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,120463.00,,,2024,Interim
Total Liabilities ,TotalLiabilities,962505.00,,,2024,Interim
Common Stock Total ,CommonStockTotal,6766.00,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),786715.00,,,2024,Interim
Total Equity ,TotalEquity,793481.00,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,1755986.00,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,1353.22,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,320.06,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
