Date,200 DMA
2025-05-15,1316.05
2025-05-16,1317.45
2025-05-19,1318.67
2025-05-20,1319.73
2025-05-21,1320.82
2025-05-22,1321.7
2025-05-23,1322.74
2025-05-26,1323.86
2025-05-27,1324.84
2025-05-28,1325.71
2025-05-29,1326.63
2025-05-30,1327.57
2025-06-02,1328.42
2025-06-03,1329.19
2025-06-04,1330.13
2025-06-05,1331.25
2025-06-06,1332.36
