displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,553.58,,,2024,Interim
Short Term Investments ,ShortTermInvestments,5522.48,,,2024,Interim
Cashand Short Term Investments ,CashandShortTermInvestments,6076.06,,,2024,Interim
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,4388.87,,,2024,Interim
Total Receivables Net ,TotalReceivablesNet,6546.06,,,2024,Interim
Total Inventory ,TotalInventory,9200.30,,,2024,Interim
Prepaid Expenses ,PrepaidExpenses,840.84,,,2024,Interim
Other Current Assets Total ,OtherCurrentAssetsTotal,495.11,,,2024,Interim
Total Current Assets ,TotalCurrentAssets,23158.37,,,2024,Interim
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,70175.68,,,2024,Interim
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-19133.32,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,57825.13,,,2024,Interim
Goodwill Net ,GoodwillNet,6345.49,,,2024,Interim
Intangibles Net ,IntangiblesNet,5518.17,,,2024,Interim
Long Term Investments ,LongTermInvestments,3190.25,,,2024,Interim
Note Receivable- Long Term ,NoteReceivable-LongTerm,4433.03,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,331.57,,,2024,Interim
Total Assets ,TotalAssets,100802.01,,,2024,Interim
Accounts Payable ,AccountsPayable,8478.33,,,2024,Interim
Accrued Expenses ,AccruedExpenses,537.90,,,2024,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,4441.23,,,2024,Interim
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,711.83,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,12736.67,,,2024,Interim
Total Current Liabilities ,TotalCurrentLiabilities,26905.96,,,2024,Interim
Long Term Debt ,LongTermDebt,5307.78,,,2024,Interim
Capital Lease Obligations ,CapitalLeaseObligations,942.11,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,6249.89,,,2024,Interim
Total Debt ,TotalDebt,11402.95,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,6447.78,,,2024,Interim
Minority Interest ,MinorityInterest,55.94,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,914.96,,,2024,Interim
Total Liabilities ,TotalLiabilities,40574.53,,,2024,Interim
Common Stock Total ,CommonStockTotal,288.69,,,2024,Interim
Additional Paid- In Capital ,AdditionalPaid-InCapital,5487.37,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),54237.85,,,2024,Interim
Other Equity Total ,OtherEquityTotal,213.57,,,2024,Interim
Total Equity ,TotalEquity,60227.48,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,100802.01,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,28.87,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,1675.27,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
